Question,main,A,B,C,D,E,F,G,Answer
Question #667 Topic 1 ,"Malware analysis can be conducted in various manners. An investigator gathers a suspicious executable file and uploads it to VirusTotal in order to confirm whether the file is malicious, provide information about its functionality, and provide information that will allow to produce simple network signatures. What type of malware analysis was performed here?",Hybrid ,Static ,Volatile ,Dynamic ,,,,Static 
Question #668 Topic 1 ,Debbie has obtained a warrant to search a known pedophile's house. Debbie went to the house and executed the search warrant to seize digital devices that have been recorded as being used for downloading illicit images. She seized all digital devices except a digital camera. Why did she not collect the digital camera?,The digital camera was not listed as one of the digital devices in the warrant ,Debbie overlooked the digital camera because it is not a computer system ,"The digital camera was old. had a cracked screen, and did not have batteries. Therefore, it could not have been used in a crime. ",The vehicle Debbie was using to transport the evidence was already full and could not carry more items ,,,,Debbie overlooked the digital camera because it is not a computer system 
Question #669 Topic 1 ,"An investigator is checking a Cisco firewall log that reads as follows:
Aug 21 2019 09:16:44: %ASA-1 -106021: Deny ICMP reverse path check from 10.0.0.44 to 10.0.0.33 on interface outside
What does %ASA-1-106021 denote?",Type of request ,Mnemonic message ,Firewall action ,Type of traffic ,,,,Mnemonic message 
Question #670 Topic 1 ,"When investigating a system, the forensics analyst discovers that malicious scripts were injected into benign and trusted websites. The attacker used a web application to send malicious code, in the form of a browser side script, to a different end-user. What attack was performed here?",SQL injection attack ,Cookie poisoning attack ,Cross-site scripting attack ,Brute-force attack ,,,,Cross-site scripting attack 
Question #671 Topic 1 ,"You are an information security analyst at a large pharmaceutical company. While performing a routine review of audit logs, you have noticed a significant amount of egress traffic to various IP addresses on destination port 22 during off-peak hours. You researched some of the IP addresses and found that many of them are in Eastern Europe. What is the most likely cause of this traffic?",The organization's primary internal DNS server has been compromised and is performing DNS zone transfers to malicious external entities ,Data is being exfiltrated by an advanced persistent threat (APT) ,Malicious software on internal system is downloading research data from partner SFTP servers in Eastern Europe ,Internal systems are downloading automatic Windows updates ,,,,Malicious software on internal system is downloading research data from partner SFTP servers in Eastern Europe 
Question #672 Topic 1 ,"Fred, a cybercrime investigator for the FBI, finished storing a solid-state drive in a static resistant bag and filled out the chain of custody form. Two days later, John grabbed the solid-state drive and created a clone of it (with write blockers enabled) in order to investigate the drive. He did not document the chain of custody though. When John was finished, he put the solid-state drive back in the static resistant and placed it back in the evidence locker. A day later, the court trial began and upon presenting the evidence and the supporting documents, the chief justice outright rejected them. Which of the following statements strongly support the reason for rejecting the evidence?",John did not document the chain of custody ,Block clones cannot be created with solid-state drives ,Write blockers were used while cloning the evidence ,John investigated the clone instead of the original evidence itself ,,,,John did not document the chain of custody 
Question #673 Topic 1 ,The working of the Tor browser is based on which of the following concepts?,Onion routing ,Static routing ,Both static and default routing ,Default routing ,,,,Onion routing 
Question #674 Topic 1 ,"A breach resulted from a malware attack that evaded detection and compromised the machine memory without installing any software or accessing the hard drive.
What technique did the adversaries use to deliver the attack?",Trojan ,JavaScript ,Spyware ,Fileless ,,,,Fileless 
Question #675 Topic 1 ,"Sally accessed the computer system that holds trade secrets of the company where she is employed. She knows she accessed it without authorization and all access (authorized and unauthorized) to this computer is monitored. To cover her tracks, Sally deleted the log entries on this computer. What among the following best describes her action?",Password sniffing ,Brute-force attack ,Anti-forensics ,Network intrusion ,,,,Anti-forensics 
Question #676 Topic 1 ,Which of the following is considered as the starting point of a database and stores user data and database objects in an MS SQL server?,ibdata1 ,Application data files (ADF) ,Transaction log data files (LDF) ,Primary data files (MDF) ,,,,Primary data files (MDF) 
Question #677 Topic 1 ,"Fill in the missing Master Boot Record component.
1. Master boot code
2. Partition table
3. ____________",Signature word ,Volume boot record ,Boot loader ,Disk signature ,,,,Disk signature 
Question #678 Topic 1 ,"""To ensure that the digital evidence is collected, preserved, examined, or transferred in a manner safeguarding the accuracy and reliability of the evidence, law enforcement, and forensics organizations must establish and maintain an effective quality system"" is a principle established by:",SWGDE ,EC-Council ,NIST ,NCIS ,,,,SWGDE 
Question #679 Topic 1 ,"Recently, an internal web app that a government agency utilizes has become unresponsive. Betty, a network engineer for the government agency, has been tasked to determine the cause of the web application's unresponsiveness. Betty launches Wireshark and begins capturing the traffic on the local network. While analyzing the results, Betty noticed that a syn flood attack was underway. How did Betty know a syn flood attack was occurring?",Wireshark capture does not show anything unusual and the issue is related to the web application ,Wireshark capture shows multiple ACK requests and SYN responses from single/multiple IP address(es) ,Wireshark capture shows multiple SYN requests and RST responses from single/multiple IP address(es) ,Wireshark capture shows multiple SYN requests and ACK responses from single/multiple IP address(es) ,,,,Wireshark capture shows multiple SYN requests and ACK responses from single/multiple IP address(es) 
Question #680 Topic 1 ,"Steve received a mail that seemed to have come from her bank. The mail has instructions for Steve to click on a link and provide information to avoid the suspension of her account. The link in the mail redirected her to a form asking for details such as name, phone number, date of birth, credit card number or PIN,
CVV code, SNNs, and email address. On a closer look, Steve realized that the URL of the form in not the same as that of her bank's.
Identify the type of external attack performed by the attacker in the above scenario?",Espionage ,Brute-force ,Phishing ,Tailgating ,,,,Phishing 
Question #681 Topic 1 ,Mark works for a government agency as a cyber-forensic investigator. He has been given the task of restoring data from a hard drive. The partition of the hard drive was deleted by a disgruntled employee in order to hide their nefarious actions. What tool should Mark use to restore the data?,R-Studio ,EFSDump ,Diskview ,Diskmon ,,,,R-Studio 
